player,nation,position,age,matches_played,starts,minutes,nineties,goals,assists,goals_plus_assists,non_pen_goals,pens_made,pens_att,yellow_cards,red_cards,goals_per90,assists_per90,goals_plus_assists_per90,non_pen_goals_per90,g_a_pk,season,xG,npxG,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_passes_received,xg_per90,xag_per90,xg_plus_xag,npxg_per90,npxg_plus_xag_per90,fbref_comp_id
Luis Vázquez,ARG,FW,22,18.0,5,569.0,6.3,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.47,0.47,0.95,0.47,0.95,2023,3.7,3.7,2.0,5.7,11.0,5.0,36.0,0.58,0.32,0.9,0.58,0.9,
Agustín Sández,PAR,DF,22,11.0,5,488.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.3,0.3,0.2,0.5,14.0,28.0,32.0,0.05,0.03,0.09,0.05,0.09,
Ezequiel Bullaude,ARG,"FW,MF",22,11.0,4,389.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.2,0.2,0.3,0.5,8.0,22.0,23.0,0.06,0.07,0.13,0.06,0.13,
Aaron Anselmino,ARG,DF,17,5.0,3,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vicente Taborda,ARG,MF,21,5.0,1,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.3,0.3,0.4,0.7,12.0,14.0,26.0,0.15,0.17,0.33,0.15,0.33,
Jabes Saralegui,ARG,MF,20,4.0,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.3,0.3,0.1,0.3,1.0,12.0,3.0,0.11,0.03,0.14,0.11,0.14,
Esteban Rolón,ARG,FW,27,9.0,1,207.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43,0.43,0.0,0.43,2023,0.2,0.2,0.6,0.8,1.0,15.0,1.0,0.1,0.25,0.35,0.1,0.35,
Nicolás Orsini,ARG,FW,28,4.0,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.7,0.7,0.0,0.7,1.0,1.0,15.0,0.31,0.02,0.33,0.31,0.33,
Diego González,ARG,MF,34,6.0,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.01,0.0,0.01,0.01,0.01,
Nahuel Génez,ARG,DF,19,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,
Brandon Cortés,CHI,MF,21,1.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,
Gonzalo Morales,ARG,FW,19,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,
Julian Carrasco,ARG,MF,20,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Lautaro Di Lollo,ARG,DF,18,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Gabriel Aranda,ARG,DF,21,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Rodrigo Montes,ARG,MF,23,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Leandro Brey,ARG,GK,20,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Federico Aguirre,ARG,FW,20,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Román Rodríguez,ARG,MF,19,0.0,0,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,
Miguel Merentiel,URU,FW,27,44.0,38,3443.0,38.3,12.0,4.0,16.0,11.0,1.0,1.0,7.0,0.0,0.31,0.1,0.42,0.29,0.39,2024,13.5,12.8,5.8,18.5,57.0,85.0,202.0,0.45,0.19,0.64,0.42,0.61,
Sergio Romero,ARG,GK,36,36.0,35,3236.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lautaro Blanco,ARG,DF,24,40.0,35,3146.0,35.0,0.0,7.0,7.0,0.0,0.0,0.0,9.0,1.0,0.0,0.2,0.2,0.0,0.2,2024,0.1,0.1,4.2,4.3,90.0,124.0,182.0,0.0,0.15,0.16,0.0,0.16,
Kevin Zenon,ARG,"MF,FW",22,39.0,35,3052.0,33.9,6.0,6.0,12.0,6.0,0.0,0.0,3.0,0.0,0.18,0.18,0.35,0.18,0.35,2024,4.8,4.8,8.7,13.6,101.0,192.0,208.0,0.17,0.31,0.47,0.17,0.47,
Luis Advíncula,PER,DF,33,40.0,34,3034.0,33.7,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.12,0.12,0.0,0.12,2024,1.5,1.5,2.2,3.7,64.0,112.0,142.0,0.05,0.08,0.13,0.05,0.13,
Guillermo Matías Fernández,ARG,MF,32,39.0,32,2878.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.03,0.03,0.0,0.03,2024,0.1,0.1,1.5,1.6,37.0,159.0,35.0,0.01,0.06,0.06,0.01,0.06,
Cristian Lema,ARG,DF,33,29.0,29,2629.0,29.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,1.0,0.03,0.07,0.1,0.03,0.1,2024,0.9,0.9,0.3,1.2,15.0,83.0,10.0,0.04,0.01,0.05,0.04,0.05,
Edinson Cavani,URU,FW,36,33.0,30,2430.0,27.0,15.0,1.0,16.0,14.0,1.0,1.0,4.0,1.0,0.56,0.04,0.59,0.52,0.56,2024,10.5,9.7,1.7,11.4,7.0,30.0,102.0,0.49,0.08,0.57,0.45,0.53,
Jorge Figal,ARG,DF,29,28.0,24,2280.0,25.3,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.04,0.0,0.04,0.04,0.04,2024,0.6,0.6,0.0,0.6,15.0,57.0,10.0,0.03,0.0,0.03,0.03,0.03,
Cristian Medina,ARG,MF,21,27.0,26,2212.0,24.6,3.0,2.0,5.0,3.0,0.0,0.0,7.0,1.0,0.12,0.08,0.2,0.12,0.2,2024,2.3,2.3,1.2,3.5,43.0,119.0,55.0,0.13,0.07,0.19,0.13,0.19,
Marcos Rojo,ARG,DF,33,24.0,19,1625.0,18.1,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.06,0.0,0.06,0.06,0.06,2024,1.0,1.0,0.1,1.0,12.0,56.0,5.0,0.07,0.0,0.07,0.07,0.07,
Marcelo Saracchi,URU,"DF,MF",25,22.0,15,1375.0,15.3,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,0.13,0.13,0.26,0.13,0.26,2024,1.1,1.1,1.2,2.2,18.0,45.0,80.0,0.1,0.1,0.2,0.1,0.2,
Leandro Brey,ARG,GK,21,17.0,15,1312.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.1,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
Jabes Saralegui,ARG,"MF,DF",21,35.0,11,1294.0,14.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,2024,1.3,1.3,1.0,2.3,9.0,34.0,39.0,0.14,0.11,0.25,0.14,0.25,
Tomás Belmonte,ARG,MF,25,18.0,14,1269.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1.0,1.0,0.0,1.0,5.0,48.0,14.0,0.07,0.0,0.08,0.07,0.08,
Lautaro Di Lollo,ARG,DF,19,19.0,13,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,4.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,
Ezequiél Fernández,ARG,MF,21,16.0,14,1250.0,13.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.14,0.07,0.22,0.14,0.22,2024,1.0,1.0,0.7,1.7,15.0,75.0,16.0,0.1,0.06,0.16,0.1,0.16,
Milton Giménez,ARG,FW,27,22.0,10,1093.0,12.1,7.0,1.0,8.0,7.0,0.0,0.0,5.0,1.0,0.58,0.08,0.66,0.58,0.66,2024,4.1,4.1,0.6,4.6,5.0,19.0,43.0,0.36,0.05,0.41,0.36,0.41,
Aaron Anselmino,ARG,DF,18,15.0,12,1083.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.08,0.25,0.33,0.08,0.33,2024,0.0,0.0,1.8,1.8,9.0,28.0,1.0,0.0,0.18,0.18,0.0,0.18,
Exequiel Zeballos,ARG,"MF,FW",21,22.0,11,1068.0,11.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.08,0.17,0.25,0.08,0.25,2024,3.3,3.3,1.8,5.1,45.0,23.0,102.0,0.28,0.15,0.44,0.28,0.44,
Brian Aguirre,ARG,"FW,MF",20,16.0,11,891.0,9.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.2,0.1,0.3,0.2,0.3,2024,1.7,1.7,2.0,3.7,26.0,40.0,88.0,0.17,0.2,0.38,0.17,0.38,
Luca Langoni,ARG,FW,21,22.0,9,867.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.21,0.1,0.21,2024,1.0,1.0,1.0,2.0,9.0,11.0,65.0,0.11,0.12,0.24,0.11,0.24,
Ignacio Miramon,ARG,MF,20,15.0,11,794.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.1,0.1,1.1,1.3,10.0,48.0,15.0,0.01,0.13,0.14,0.01,0.14,
Gary Medel,CHI,"DF,MF",36,11.0,7,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.1,0.1,0.0,13.0,0.0,0.0,0.01,0.01,0.0,0.01,
Lucas Janson,ARG,"FW,MF",29,22.0,7,693.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1.7,1.7,0.2,1.9,9.0,16.0,50.0,0.32,0.03,0.35,0.32,0.35,
Frank Fabra,COL,"DF,MF",32,16.0,6,560.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,2024,0.0,0.0,0.5,0.5,16.0,27.0,33.0,0.0,0.09,0.09,0.0,0.09,
Milton Delgado,ARG,MF,18,15.0,6,536.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,
Mauricio Benítez,ARG,MF,19,10.0,6,532.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.1,0.1,0.0,0.1,2.0,18.0,4.0,0.03,0.0,0.03,0.03,0.03,
Nicolás Valentini,ARG,DF,22,9.0,6,525.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,2024,0.1,0.1,0.0,0.1,3.0,10.0,2.0,0.03,0.0,0.03,0.03,0.03,
Jorman Campuzano,COL,DF,27,10.0,7,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,6.0,33.0,3.0,0.0,0.01,0.01,0.0,0.01,
Juan Barinaga,ARG,DF,23,8.0,6,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.1,0.1,0.0,0.1,8.0,22.0,23.0,0.01,0.0,0.01,0.01,0.01,
Lucas Blondel,SUI,"DF,MF",27,9.0,6,423.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,2024,1.1,1.1,0.1,1.2,8.0,17.0,21.0,0.23,0.03,0.26,0.23,0.26,
Agustín Martegani,ARG,MF,23,10.0,5,391.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.3,0.4,8.0,16.0,20.0,0.01,0.08,0.09,0.01,0.09,
Darío Benedetto,ARG,FW,33,11.0,3,332.0,3.7,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,2024,1.0,1.0,0.3,1.3,6.0,5.0,24.0,0.42,0.12,0.54,0.42,0.54,
Ezequiel Bullaude,ARG,"FW,MF",23,6.0,2,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.5,0.5,1.0,1.4,6.0,14.0,13.0,0.19,0.4,0.58,0.19,0.58,
Mateo Mendía,ARG,DF,19,4.0,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.01,0.0,0.01,0.01,0.01,
Julián Ceballos,ARG,MF,19,4.0,3,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,
Norberto Briasco,ARM,"MF,FW",27,6.0,1,171.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,0.0,0.53,2024,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.02,0.02,0.0,0.02,
Juan Ramírez,ARG,MF,30,4.0,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,
Vicente Taborda,ARG,MF,22,5.0,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.02,0.0,0.02,0.02,0.02,
Javier Hernán García,ARG,GK,37,1.0,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iker Zufiaurre,ARG,MF,18,3.0,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
Dylan Gorosito,ARG,DF,17,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07,0.07,0.0,0.07,
Joaquín Ruíz,ARG,FW,17,2.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
Walter Molas,ARG,DF,19,2.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Santiago Dalmasso,ARG,MF,19,2.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Juan Payal,ARG,FW,18,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Sebastián Díaz,ARG,GK,20,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Román Rodríguez,ARG,MF,20,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Ignacio Rodríguez,ARG,FW,19,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Marcelo Weigandt,ARG,DF,24,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Bruno Valdez,PAR,DF,31,0.0,0,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,
Agustín Marchesín,ARG,GK,37-249,32.0,32,2879.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lautaro Blanco,ARG,DF,26-274,30.0,30,2679.0,29.8,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.03,0.1,0.13,0.03,0.13,2025,0.5,0.5,3.4,3.9,67.0,96.0,173.0,0.02,0.13,0.14,0.02,0.14,
Rodrigo Battaglia,ARG,"DF,MF",34-131,27.0,24,2237.0,24.9,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.2,0.0,0.2,0.2,0.2,2025,2.8,2.6,0.3,2.9,26.0,71.0,13.0,0.13,0.01,0.14,0.12,0.13,
Miguel Merentiel,URU,FW,29-269,35.0,25,2167.0,24.1,13.0,4.0,17.0,12.0,1.0,1.0,2.0,0.0,0.54,0.17,0.71,0.5,0.66,2025,9.4,8.6,4.0,12.5,45.0,53.0,134.0,0.44,0.18,0.62,0.4,0.58,
Carlos Palacios,CHI,MF,25-123,28.0,26,2080.0,23.1,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,0.13,0.17,0.3,0.13,0.3,2025,1.6,1.6,4.2,5.8,39.0,124.0,66.0,0.08,0.2,0.28,0.08,0.28,
Lautaro Di Lollo,ARG,DF,21-255,26.0,21,1999.0,22.2,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,0.14,0.0,0.14,0.14,0.14,2025,0.7,0.7,0.2,0.9,17.0,67.0,0.0,0.04,0.01,0.05,0.04,0.05,
Ayrton Costa,ARG,DF,26-131,21.0,18,1715.0,19.1,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.1,0.05,0.16,0.1,0.16,2025,1.7,1.7,0.2,1.9,9.0,27.0,1.0,0.1,0.01,0.11,0.1,0.11,
Milton Giménez,ARG,FW,29-100,26.0,16,1557.0,17.3,9.0,3.0,12.0,9.0,0.0,0.0,6.0,0.0,0.52,0.17,0.69,0.52,0.69,2025,7.8,7.8,2.2,10.0,22.0,16.0,84.0,0.48,0.13,0.62,0.48,0.62,
Edinson Cavani,URU,FW,38-279,19.0,17,1394.0,15.5,4.0,2.0,6.0,3.0,1.0,3.0,4.0,0.0,0.26,0.13,0.39,0.19,0.32,2025,6.1,3.7,0.5,4.2,7.0,20.0,58.0,0.41,0.03,0.44,0.25,0.28,
Juan Barinaga,ARG,DF,25-041,17.0,15,1333.0,14.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,2025,0.2,0.2,1.7,1.9,32.0,44.0,88.0,0.02,0.11,0.13,0.02,0.13,
Luis Advíncula,PER,DF,35-263,22.0,13,1324.0,14.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.07,0.07,0.14,0.07,0.14,2025,0.7,0.7,0.7,1.4,19.0,45.0,59.0,0.06,0.06,0.12,0.06,0.12,
Milton Delgado,ARG,MF,20-157,18.0,15,1317.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,2025,0.1,0.1,0.0,0.2,14.0,85.0,9.0,0.01,0.0,0.01,0.01,0.01,
Alan Velasco,ARG,"MF,FW",23-116,25.0,16,1246.0,13.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.07,0.14,0.22,0.07,0.22,2025,1.6,1.6,1.4,3.0,22.0,49.0,76.0,0.14,0.12,0.26,0.14,0.26,
Tomás Belmonte,ARG,MF,27-177,19.0,13,1212.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.8,0.8,0.1,0.8,1.0,34.0,14.0,0.06,0.0,0.07,0.06,0.07,
Leandro Paredes,ARG,MF,31-144,14.0,13,1187.0,13.2,1.0,4.0,5.0,0.0,1.0,1.0,3.0,0.0,0.08,0.3,0.38,0.0,0.3,2025,1.6,0.8,3.0,3.8,29.0,148.0,23.0,0.12,0.23,0.35,0.06,0.29,
Kevin Zenon,ARG,"MF,FW",24-113,25.0,11,1139.0,12.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.16,0.0,0.16,0.16,0.16,2025,1.6,1.6,1.7,3.3,25.0,65.0,94.0,0.15,0.17,0.32,0.15,0.32,
Exequiel Zeballos,ARG,"MF,FW",23-210,28.0,10,1080.0,12.0,5.0,3.0,8.0,5.0,0.0,1.0,1.0,0.0,0.42,0.25,0.67,0.42,0.67,2025,4.7,3.9,2.1,6.0,50.0,32.0,138.0,0.41,0.19,0.6,0.34,0.53,
Marcos Rojo,ARG,DF,35-245,11.0,11,859.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,2025,0.6,0.6,0.0,0.6,5.0,55.0,0.0,0.06,0.0,0.06,0.06,0.06,
William Alarcón,CHI,MF,25-000,21.0,8,835.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,2025,0.5,0.5,1.3,1.8,7.0,49.0,30.0,0.05,0.15,0.2,0.05,0.2,
Brian Aguirre,ARG,"MF,FW",22-172,16.0,10,732.0,8.1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.12,0.25,0.37,0.12,0.37,2025,1.2,1.2,1.1,2.3,25.0,22.0,65.0,0.14,0.14,0.28,0.14,0.28,
Marco Pellegrino,ARG,DF,23-125,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.3,0.3,0.0,0.3,3.0,20.0,1.0,0.06,0.0,0.06,0.06,0.06,
Lucas Blondel,SUI,"DF,MF",29-067,9.0,7,545.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,2025,0.5,0.5,0.1,0.6,9.0,22.0,34.0,0.08,0.02,0.1,0.08,0.1,
Ander Herrera,ESP,MF,36-098,13.0,6,460.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2025,0.3,0.3,0.4,0.7,1.0,34.0,18.0,0.06,0.09,0.15,0.06,0.15,
Marcelo Saracchi,URU,"DF,MF",27-211,7.0,4,371.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,2025,0.1,0.1,0.5,0.5,12.0,23.0,26.0,0.02,0.12,0.13,0.02,0.13,
Malcom Braida,ARG,"FW,MF",28-187,7.0,3,325.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,0.01,0.01,0.0,0.01,
Camilo Rey,ARG,MF,19-255,5.0,3,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,
Leandro Brey,ARG,GK,23-060,4.0,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jorge Figal,ARG,DF,31-231,3.0,3,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,
Lucas Janson,ARG,"FW,MF",31-096,4.0,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.1,0.1,0.3,0.5,2.0,7.0,9.0,0.11,0.25,0.36,0.11,0.36,
Frank Fabra,COL,DF,34-271,2.0,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.3,0.3,0.1,0.4,6.0,8.0,6.0,0.25,0.1,0.35,0.25,0.35,
Ignacio Miramon,ARG,"MF,FW",22-161,3.0,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.2,0.2,0.0,0.2,1.0,7.0,0.0,0.17,0.0,0.17,0.17,0.17,
Mateo Mendía,ARG,DF,21-290,2.0,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
Agustín Martegani,ARG,MF,25-184,1.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.12,0.0,0.12,0.12,0.12,
Joaquín Ruíz,ARG,"MF,FW",19-122,1.0,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.44,0.0,0.44,0.44,0.44,
Santiago Dalmasso,ARG,MF,21-155,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,
Cristian Lema,ARG,DF,35-241,0.0,0,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,
Javier Hernán García,ARG,GK,38-295,0.0,0,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,
Valentino Simoni,ARG,MF,21-204,0.0,0,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,
