player,nation,position,age,nineties,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalty_goals,penalty_attempts,season,shots_from_free_kicks,xG,npxG,npxg_per_shot,goals_minus_xg,npg_minus_npxg,fbref_comp_id
Franco Cristaldo,ARG,"FW,MF",18,5.1,1,,,,,,,,,0,0,2015,,,,,,,
Cristian Pavón,ARG,"FW,MF",19,4.4,1,,,,,,,,,0,0,2015,,,,,,,
Juan Cruz Komar,ARG,DF,18,3.8,1,,,,,,,,,0,0,2015,,,,,,,
Gonzalo Castellani,ARG,MF,27,2.0,0,,,,,,,,,0,0,2015,,,,,,,
Federico Bravo,ARG,"DF,MF",21,1.0,0,,,,,,,,,0,0,2015,,,,,,,
Lisandro Magallán,ARG,DF,21,1.0,0,,,,,,,,,0,0,2015,,,,,,,
Emmanuel Gigliotti,ARG,FW,27,0.7,0,,,,,,,,,0,0,2015,,,,,,,
Guido Vadalá,ARG,"FW,MF",17,0.3,0,,,,,,,,,0,0,2015,,,,,,,
Cristian Pavón,ARG,FW,20,28.6,9,82,22,26.8,2.87,0.77,0.11,0.41,22.8,0,0,2016,7.0,0.0,0.0,0.0,9.0,9.0,21.0
Pablo Pérez,ARG,MF,30,25.5,0,38,10,26.3,1.49,0.39,0.0,0.0,29.2,0,0,2016,3.0,0.0,0.0,0.0,0.0,0.0,21.0
Gino Peruzzi,ARG,DF,24,24.1,3,7,7,100.0,0.29,0.29,0.43,0.43,10.1,0,0,2016,0.0,0.0,0.0,0.0,3.0,3.0,21.0
Santiago Vergini,ARG,DF,27,24.7,0,4,0,0.0,0.16,0.0,0.0,,18.6,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Darío Benedetto,ARG,FW,26,20.5,21,80,30,37.5,3.91,1.47,0.25,0.67,17.7,1,1,2016,4.0,0.0,0.0,0.0,21.0,20.0,21.0
Rodrigo Bentancur,URU,MF,19,20.4,0,25,5,20.0,1.22,0.24,0.0,0.0,23.6,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Juan Manuel Insaurralde,ARG,DF,31,18.5,1,10,3,30.0,0.54,0.16,0.1,0.33,12.0,0,0,2016,0.0,0.0,0.0,0.0,1.0,1.0,21.0
Frank Fabra,COL,DF,25,17.9,1,14,4,28.6,0.78,0.22,0.07,0.25,17.5,0,0,2016,0.0,0.0,0.0,0.0,1.0,1.0,21.0
Ricardo Centurión,ARG,"FW,MF",23,15.0,8,32,14,43.8,2.13,0.93,0.25,0.57,14.6,0,0,2016,0.0,0.0,0.0,0.0,8.0,8.0,21.0
Agustín Rossi,ARG,GK,20,16.0,0,0,0,,0.0,0.0,,,,0,0,2016,0.0,0.0,0.0,,0.0,0.0,21.0
Fernando Gago,ARG,MF,30,15.9,2,13,7,53.8,0.82,0.44,0.08,0.14,33.6,1,1,2016,4.0,0.0,0.0,0.0,2.0,1.0,21.0
Fernando Tobio,ARG,DF,26,12.6,0,4,2,50.0,0.32,0.16,0.0,0.0,15.9,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Jonathan Silva,ARG,DF,22,12.1,1,19,6,31.6,1.57,0.49,0.05,0.17,23.7,0,0,2016,4.0,0.0,0.0,0.0,1.0,1.0,21.0
Guillermo Sara,ARG,GK,28,12.0,0,0,0,,0.0,0.0,,,,0,0,2016,0.0,0.0,0.0,,0.0,0.0,21.0
Wílmar Barrios,COL,MF,22,12.0,0,2,0,0.0,0.17,0.0,0.0,,25.9,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Carlos Tevez,ARG,"MF,FW",32,10.2,5,32,13,40.6,3.15,1.28,0.16,0.38,22.2,0,0,2016,5.0,0.0,0.0,0.0,5.0,5.0,21.0
Leonardo Jara,ARG,"DF,MF",25,7.4,0,5,0,0.0,0.68,0.0,0.0,,29.7,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Walter Bou,ARG,FW,22,9.5,6,23,12,52.2,2.43,1.27,0.26,0.5,14.1,0,0,2016,0.0,0.0,0.0,0.0,6.0,6.0,21.0
Lisandro Magallán,ARG,DF,22,4.7,0,2,1,50.0,0.42,0.21,0.0,0.0,6.2,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Fernando Zuqui,ARG,FW,24,4.8,0,8,2,25.0,1.66,0.41,0.0,0.0,18.7,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Sebastián Pérez Cardona,COL,MF,23,4.7,0,2,0,0.0,0.42,0.0,0.0,,24.7,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Oscar Benítez,ARG,FW,23,3.5,2,7,4,57.1,2.03,1.16,0.29,0.5,12.7,0,0,2016,0.0,0.0,0.0,0.0,2.0,2.0,21.0
Andrés Cubas,PAR,MF,20,2.3,0,0,0,,0.0,0.0,,,,0,0,2016,0.0,0.0,0.0,,0.0,0.0,21.0
Axel Werner,ARG,GK,20,2.0,0,0,0,,0.0,0.0,,,,0,0,2016,0.0,0.0,0.0,,0.0,0.0,21.0
Nazareno Solís,ARG,FW,22,1.2,0,3,0,0.0,2.48,0.0,0.0,,16.6,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Gonzalo Maroni,ARG,"MF,FW",17,1.0,1,2,1,50.0,2.0,1.0,0.5,1.0,25.9,0,0,2016,0.0,0.0,0.0,0.0,1.0,1.0,21.0
Federico Carrizo,ARG,"FW,MF",25,0.8,0,1,0,0.0,1.32,0.0,0.0,,22.9,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Gonzalo Castellani,ARG,FW,28,0.7,0,1,0,0.0,1.34,0.0,0.0,,15.1,0,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Agustín Rossi,ARG,GK,21,26.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Cristian Pavón,ARG,FW,21,25.2,6,65,21,32.3,2.58,0.83,0.09,0.29,21.9,0,0,2017,4.0,5.1,5.1,0.08,0.9,0.9,21.0
Lisandro Magallán,ARG,DF,23,25.0,0,11,1,9.1,0.44,0.04,0.0,0.0,8.9,0,0,2017,0.0,2.0,2.0,0.18,-2.0,-2.0,21.0
Wílmar Barrios,COL,MF,23,22.1,1,5,2,40.0,0.23,0.09,0.2,0.5,22.7,0,0,2017,0.0,0.2,0.2,0.04,0.8,0.8,21.0
Frank Fabra,COL,DF,26,21.5,2,11,4,36.4,0.51,0.19,0.18,0.5,21.3,0,0,2017,0.0,1.3,1.3,0.11,0.7,0.7,21.0
Nahitan Nández,URU,MF,21,21.0,4,26,5,19.2,1.24,0.24,0.15,0.8,19.5,0,0,2017,0.0,2.5,2.5,0.09,1.5,1.5,21.0
