player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Cristian Medina,ARG,MF,18.0,23.0,46.0,2.03,40.0,1.0,1.0,1.0,3.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,2021
Cristian Pavón,ARG,"FW,MF",25.0,22.2,96.0,4.52,48.0,20.0,13.0,8.0,6.0,1.0,10.0,0.47,7.0,1.0,1.0,0.0,1.0,0.0,2021
Lisandro López,ARG,DF,31.0,22.2,24.0,1.1,20.0,0.0,1.0,1.0,0.0,2.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,2021
Marcos Rojo,ARG,DF,30.0,21.9,21.0,0.99,16.0,2.0,0.0,2.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,2021
Agustín Almendra,ARG,MF,20.0,19.5,79.0,4.05,59.0,5.0,2.0,5.0,4.0,4.0,7.0,0.36,5.0,0.0,1.0,1.0,0.0,0.0,2021
Alan Varela,ARG,MF,19.0,16.2,21.0,1.33,19.0,0.0,0.0,2.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,2021
Luis Vázquez,ARG,FW,20.0,16.0,31.0,1.93,23.0,0.0,4.0,4.0,0.0,0.0,3.0,0.19,2.0,0.0,1.0,0.0,0.0,0.0,2021
Carlos Tevez,ARG,FW,36.0,15.4,53.0,3.6,33.0,1.0,6.0,5.0,8.0,0.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,2021
Carlos Zambrano,PER,DF,31.0,14.8,3.0,0.21,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Nicolás Capaldo,ARG,"DF,MF",23.0,14.6,20.0,1.37,14.0,1.0,1.0,0.0,4.0,0.0,3.0,0.21,1.0,0.0,0.0,0.0,2.0,0.0,2021
Edwin Cardona,COL,MF,28.0,14.0,80.0,5.86,55.0,19.0,4.0,0.0,1.0,1.0,12.0,0.88,9.0,2.0,0.0,0.0,1.0,0.0,2021
Juan Ramírez,ARG,MF,27.0,12.5,48.0,3.85,34.0,1.0,9.0,0.0,4.0,0.0,4.0,0.32,4.0,0.0,0.0,0.0,0.0,0.0,2021
Luis Advíncula,PER,DF,30.0,11.6,17.0,1.47,11.0,0.0,4.0,0.0,1.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,2021
Norberto Briasco,ARM,FW,24.0,11.0,25.0,2.27,14.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Esteban Andrada,ARG,GK,30.0,11.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Aaron Nicolás Molinas,ARG,FW,20.0,10.6,51.0,4.94,36.0,8.0,2.0,2.0,2.0,1.0,7.0,0.68,5.0,2.0,0.0,0.0,0.0,0.0,2021
Agustín Sández,PAR,DF,20.0,10.4,27.0,2.69,22.0,1.0,2.0,1.0,0.0,1.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,2021
Marcelo Weigandt,ARG,DF,21.0,10.4,15.0,1.5,12.0,0.0,1.0,0.0,2.0,0.0,4.0,0.4,1.0,0.0,1.0,0.0,2.0,0.0,2021
Esteban Rolón,ARG,MF,25.0,10.0,6.0,0.62,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Rodrigo Montes,ARG,"MF,FW",21.0,8.6,23.0,2.67,20.0,0.0,0.0,2.0,1.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,2021
Julio Buffarini,ARG,DF,32.0,8.6,6.0,0.72,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,2021
Diego González,ARG,MF,32.0,7.9,14.0,1.84,11.0,0.0,2.0,1.0,0.0,0.0,3.0,0.39,3.0,0.0,0.0,0.0,0.0,0.0,2021
Franco Soldano,ARG,FW,26.0,6.5,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Agustín Obando,ARG,"FW,MF",20.0,5.9,13.0,2.21,8.0,1.0,2.0,1.0,1.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,2021
Gonzalo Maroni,ARG,"FW,MF",21.0,5.7,22.0,4.08,15.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Eros Mancuso,ARG,DF,21.0,4.7,12.0,2.55,8.0,2.0,1.0,1.0,0.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,2021
Nicolás Orsini,ARG,FW,26.0,4.5,8.0,1.9,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,2021
Mauro Zárate,ARG,"FW,MF",33.0,4.4,13.0,2.92,7.0,4.0,0.0,1.0,1.0,0.0,3.0,0.67,0.0,1.0,0.0,1.0,1.0,0.0,2021
Eduardo Salvio,ARG,"FW,MF",30.0,4.4,11.0,2.49,5.0,0.0,3.0,1.0,2.0,0.0,2.0,0.45,1.0,0.0,0.0,0.0,1.0,0.0,2021
Exequiel Zeballos,ARG,MF,18.0,3.9,6.0,1.53,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,2021
Emmanuel Más,ARG,DF,32.0,3.8,4.0,1.17,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Leonardo Jara,ARG,MF,29.0,3.5,6.0,1.73,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.58,1.0,0.0,0.0,1.0,0.0,0.0,2021
Javier Hernán García,ARG,GK,34.0,3.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Ezequiél Fernández,ARG,MF,18.0,2.5,1.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Valentín Barco,ARG,DF,16.0,2.3,6.0,2.63,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Vicente Taborda,ARG,"MF,FW",19.0,2.1,4.0,1.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Gabriel Vega,ARG,MF,18.0,2.1,10.0,4.81,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Gabriel Aranda,ARG,DF,19.0,2.0,3.0,1.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Balthazar Bernardi,ARG,DF,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Agustín Lastra,ARG,GK,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Renzo Giampaoli,ARG,DF,21.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Israel Escalante,ARG,FW,22.0,1.4,1.0,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Érik Bodencer,ARG,FW,20.0,1.2,2.0,1.71,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Ezequiel Almirón,ARG,FW,18.0,0.3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Nicolás Valentini,ARG,DF,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Juan Cabaña,ARG,MF,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Kevin Duarte,ARG,MF,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
