player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Javier Hernán García,ARG,GK,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Juan Ramírez,ARG,"MF,FW",29.0,8.9,27.0,3.04,19.0,3.0,1.0,0.0,4.0,0.0,3.0,0.34,3.0,0.0,0.0,0.0,0.0,0.0,2023
Jorman Campuzano,COL,MF,26.0,8.3,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Exequiel Zeballos,ARG,"FW,DF",20.0,8.0,32.0,4.39,12.0,7.0,4.0,3.0,6.0,0.0,4.0,0.55,3.0,1.0,0.0,0.0,0.0,0.0,2023
Martín Payero,ARG,MF,24.0,7.6,28.0,3.66,15.0,2.0,2.0,3.0,5.0,1.0,5.0,0.65,2.0,0.0,1.0,1.0,1.0,0.0,2023
Norberto Briasco,ARM,FW,26.0,7.1,25.0,3.49,18.0,1.0,3.0,0.0,2.0,1.0,5.0,0.7,4.0,0.0,1.0,0.0,0.0,0.0,2023
Lucas Blondel,SUI,DF,26.0,6.6,9.0,1.36,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,2023
Luis Vázquez,ARG,FW,22.0,6.3,13.0,2.05,10.0,0.0,0.0,1.0,1.0,1.0,5.0,0.79,3.0,0.0,0.0,1.0,0.0,1.0,2023
Agustín Sández,PAR,DF,22.0,5.4,5.0,0.92,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Ezequiel Bullaude,ARG,"FW,MF",22.0,4.3,10.0,2.31,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Aaron Anselmino,ARG,DF,17.0,3.3,2.0,0.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Vicente Taborda,ARG,MF,21.0,2.4,13.0,5.94,7.0,2.0,1.0,1.0,2.0,0.0,1.0,0.46,0.0,0.0,0.0,1.0,0.0,0.0,2023
Jabes Saralegui,ARG,MF,20.0,2.3,6.0,2.61,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,2023
Esteban Rolón,ARG,FW,27.0,2.3,7.0,3.03,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,2023
Nicolás Orsini,ARG,FW,28.0,2.3,5.0,2.21,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,2023
Diego González,ARG,MF,34.0,1.2,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Nahuel Génez,ARG,DF,19.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Brandon Cortés,CHI,MF,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Gonzalo Morales,ARG,FW,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Miguel Merentiel,URU,FW,27.0,38.3,75.0,2.48,57.0,1.0,7.0,7.0,2.0,1.0,11.0,0.36,6.0,0.0,4.0,1.0,0.0,0.0,2024
Sergio Romero,ARG,GK,36.0,36.0,6.0,0.23,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,2024
Lautaro Blanco,ARG,DF,24.0,35.0,66.0,2.4,50.0,9.0,3.0,0.0,3.0,1.0,5.0,0.18,4.0,0.0,1.0,0.0,0.0,0.0,2024
Kevin Zenon,ARG,"MF,FW",22.0,33.9,113.0,3.96,63.0,27.0,7.0,9.0,7.0,0.0,10.0,0.35,6.0,1.0,0.0,3.0,0.0,0.0,2024
Luis Advíncula,PER,DF,33.0,33.7,55.0,1.96,40.0,2.0,6.0,3.0,2.0,2.0,6.0,0.21,4.0,0.0,2.0,0.0,0.0,0.0,2024
Guillermo Matías Fernández,ARG,MF,32.0,32.0,53.0,2.05,44.0,5.0,0.0,1.0,1.0,2.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,2024
Cristian Lema,ARG,DF,33.0,29.2,13.0,0.59,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Edinson Cavani,URU,FW,36.0,27.0,27.0,1.25,15.0,0.0,3.0,7.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,2024
Jorge Figal,ARG,DF,29.0,25.3,11.0,0.53,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Cristian Medina,ARG,MF,21.0,24.6,37.0,2.02,25.0,1.0,4.0,3.0,4.0,0.0,6.0,0.33,2.0,0.0,1.0,2.0,1.0,0.0,2024
Marcos Rojo,ARG,DF,33.0,18.1,8.0,0.57,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,2024
Marcelo Saracchi,URU,"DF,MF",25.0,15.3,28.0,2.5,20.0,4.0,1.0,1.0,1.0,1.0,4.0,0.36,3.0,0.0,1.0,0.0,0.0,0.0,2024
Leandro Brey,ARG,GK,21.0,14.6,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Jabes Saralegui,ARG,"MF,DF",21.0,14.4,25.0,2.72,17.0,4.0,2.0,1.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,2024
Tomás Belmonte,ARG,MF,25.0,14.1,14.0,1.03,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,2024
Lautaro Di Lollo,ARG,DF,19.0,14.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Ezequiél Fernández,ARG,MF,21.0,13.9,29.0,2.87,26.0,0.0,1.0,0.0,1.0,1.0,5.0,0.5,4.0,0.0,1.0,0.0,0.0,0.0,2024
Milton Giménez,ARG,FW,27.0,12.1,14.0,1.25,10.0,0.0,2.0,1.0,1.0,0.0,2.0,0.18,1.0,0.0,1.0,0.0,0.0,0.0,2024
Aaron Anselmino,ARG,DF,18.0,12.0,7.0,0.7,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,2024
Exequiel Zeballos,ARG,"MF,FW",21.0,11.9,36.0,3.1,20.0,3.0,8.0,1.0,4.0,0.0,6.0,0.52,4.0,0.0,2.0,0.0,0.0,0.0,2024
Brian Aguirre,ARG,"FW,MF",20.0,9.9,33.0,3.34,23.0,4.0,4.0,1.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,2024
Luca Langoni,ARG,FW,21.0,9.6,25.0,2.96,12.0,5.0,2.0,2.0,3.0,1.0,6.0,0.71,3.0,0.0,0.0,2.0,1.0,0.0,2024
Ignacio Miramon,ARG,MF,20.0,8.8,8.0,0.91,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Gary Medel,CHI,"DF,MF",36.0,7.8,5.0,0.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Lucas Janson,ARG,"FW,MF",29.0,7.7,10.0,1.9,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Frank Fabra,COL,"DF,MF",32.0,6.2,7.0,1.42,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,2024
Milton Delgado,ARG,MF,18.0,6.0,2.0,0.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Mauricio Benítez,ARG,MF,19.0,5.9,4.0,1.43,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Nicolás Valentini,ARG,DF,22.0,5.8,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Jorman Campuzano,COL,DF,27.0,5.8,4.0,0.71,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Juan Barinaga,ARG,DF,23.0,5.3,3.0,0.56,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,2024
Lucas Blondel,SUI,"DF,MF",27.0,4.7,8.0,1.71,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,2024
Agustín Martegani,ARG,MF,23.0,4.3,9.0,2.38,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Darío Benedetto,ARG,FW,33.0,3.7,4.0,1.64,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Ezequiel Bullaude,ARG,"FW,MF",23.0,2.7,7.0,2.89,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Mateo Mendía,ARG,DF,19.0,2.3,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Julián Ceballos,ARG,MF,19.0,2.0,1.0,1.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Norberto Briasco,ARM,"MF,FW",27.0,1.9,3.0,4.09,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.36,1.0,0.0,0.0,0.0,0.0,0.0,2024
Juan Ramírez,ARG,MF,30.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Vicente Taborda,ARG,MF,22.0,1.6,2.0,2.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Javier Hernán García,ARG,GK,37.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Iker Zufiaurre,ARG,MF,18.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Dylan Gorosito,ARG,DF,17.0,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Joaquín Ruíz,ARG,FW,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Walter Molas,ARG,DF,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Santiago Dalmasso,ARG,MF,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Agustín Marchesín,ARG,GK,37-249,32.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Lautaro Blanco,ARG,DF,26-274,29.8,49.0,1.83,42.0,3.0,3.0,0.0,1.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,2025
Rodrigo Battaglia,ARG,"DF,MF",34-131,24.9,21.0,0.96,16.0,0.0,0.0,4.0,0.0,1.0,4.0,0.18,3.0,0.0,0.0,1.0,0.0,0.0,2025
Miguel Merentiel,URU,FW,29-269,24.1,62.0,2.88,47.0,0.0,8.0,6.0,1.0,0.0,9.0,0.42,5.0,0.0,2.0,2.0,0.0,0.0,2025
Carlos Palacios,CHI,MF,25-123,23.1,74.0,3.59,54.0,10.0,2.0,1.0,6.0,1.0,8.0,0.39,5.0,1.0,0.0,1.0,0.0,1.0,2025
Lautaro Di Lollo,ARG,DF,21-255,22.2,12.0,0.59,8.0,0.0,0.0,3.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,2025
Ayrton Costa,ARG,DF,26-131,19.1,12.0,0.7,8.0,1.0,1.0,1.0,0.0,1.0,3.0,0.18,1.0,1.0,0.0,0.0,0.0,1.0,2025
Milton Giménez,ARG,FW,29-100,17.3,37.0,2.27,18.0,0.0,5.0,9.0,4.0,1.0,10.0,0.61,3.0,0.0,1.0,5.0,1.0,0.0,2025
Edinson Cavani,URU,FW,38-279,15.5,25.0,1.68,16.0,0.0,1.0,4.0,3.0,1.0,3.0,0.2,1.0,0.0,0.0,1.0,0.0,1.0,2025
Juan Barinaga,ARG,DF,25-041,14.8,26.0,1.75,17.0,3.0,3.0,0.0,3.0,0.0,3.0,0.2,2.0,0.0,1.0,0.0,0.0,0.0,2025
Luis Advíncula,PER,DF,35-263,14.7,14.0,1.2,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,2025
Milton Delgado,ARG,MF,20-157,14.6,13.0,0.89,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,2025
Alan Velasco,ARG,"MF,FW",23-116,13.8,43.0,3.66,24.0,7.0,3.0,3.0,6.0,0.0,5.0,0.43,3.0,0.0,1.0,0.0,1.0,0.0,2025
Tomás Belmonte,ARG,MF,27-177,13.5,11.0,0.92,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,2025
Leandro Paredes,ARG,MF,31-144,13.2,78.0,5.91,42.0,30.0,2.0,3.0,1.0,0.0,6.0,0.45,1.0,5.0,0.0,0.0,0.0,0.0,2025
Kevin Zenon,ARG,"MF,FW",24-113,12.7,35.0,3.4,28.0,4.0,2.0,1.0,0.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0,2025
Exequiel Zeballos,ARG,"MF,FW",23-210,12.0,50.0,4.42,32.0,1.0,10.0,4.0,3.0,0.0,6.0,0.53,3.0,0.0,2.0,1.0,0.0,0.0,2025
Marcos Rojo,ARG,DF,35-245,9.5,4.0,0.42,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
William Alarcón,CHI,MF,25-000,9.3,25.0,2.86,17.0,6.0,0.0,1.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,2025
Brian Aguirre,ARG,"MF,FW",22-172,8.1,14.0,1.72,9.0,0.0,1.0,1.0,2.0,1.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,2025
Marco Pellegrino,ARG,DF,23-125,7.0,1.0,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Lucas Blondel,SUI,"DF,MF",29-067,6.1,9.0,1.49,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,2025
Ander Herrera,ESP,MF,36-098,5.1,16.0,3.27,12.0,0.0,0.0,2.0,2.0,0.0,4.0,0.82,1.0,0.0,0.0,1.0,2.0,0.0,2025
Marcelo Saracchi,URU,"DF,MF",27-211,4.1,13.0,3.25,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,2025
Malcom Braida,ARG,"FW,MF",28-187,3.6,3.0,1.05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Camilo Rey,ARG,MF,19-255,3.4,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Leandro Brey,ARG,GK,23-060,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Jorge Figal,ARG,DF,31-231,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Lucas Janson,ARG,"FW,MF",31-096,1.3,4.0,3.05,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Frank Fabra,COL,DF,34-271,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Ignacio Miramon,ARG,"MF,FW",22-161,1.1,3.0,2.65,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Mateo Mendía,ARG,DF,21-290,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Agustín Martegani,ARG,MF,25-184,0.6,1.0,1.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Joaquín Ruíz,ARG,"MF,FW",19-122,0.3,1.0,3.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
Santiago Dalmasso,ARG,MF,21-155,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
