player,nation,position,age,nineties,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,fbref_comp_id
Diego González,ARG,MF,34.0,1.2,1,0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2023,17.0,2.0,1.0,66.7,
Nahuel Génez,ARG,DF,19.0,1.0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2023,1.0,0.0,3.0,0.0,
Brandon Cortés,CHI,MF,21.0,0.2,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023,2.0,0.0,0.0,,
Gonzalo Morales,ARG,FW,19.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,1.0,0.0,2.0,0.0,
Miguel Merentiel,URU,FW,27.0,38.3,7,0,0.0,25.0,25.0,10.0,60.0,8.0,9.0,0.0,0.0,0.0,2024,60.0,10.0,28.0,26.3,
Sergio Romero,ARG,GK,36.0,36.0,2,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024,11.0,3.0,0.0,100.0,
Lautaro Blanco,ARG,DF,24.0,35.0,9,1,1.0,37.0,21.0,1.0,255.0,27.0,67.0,0.0,0.0,0.0,2024,136.0,2.0,11.0,15.4,
Kevin Zenon,ARG,"MF,FW",22.0,33.9,3,0,0.0,18.0,55.0,5.0,263.0,11.0,15.0,0.0,0.0,0.0,2024,147.0,14.0,22.0,38.9,
Luis Advíncula,PER,DF,33.0,33.7,6,1,0.0,38.0,54.0,2.0,95.0,29.0,39.0,0.0,0.0,0.0,2024,123.0,20.0,27.0,42.6,
Guillermo Matías Fernández,ARG,MF,32.0,32.0,19,1,0.0,48.0,39.0,2.0,25.0,58.0,55.0,0.0,0.0,0.0,2024,170.0,12.0,14.0,46.2,
Cristian Lema,ARG,DF,33.0,29.2,11,1,1.0,37.0,23.0,2.0,2.0,51.0,37.0,0.0,1.0,0.0,2024,112.0,96.0,29.0,76.8,
Edinson Cavani,URU,FW,36.0,27.0,4,1,0.0,29.0,28.0,32.0,5.0,2.0,5.0,0.0,0.0,0.0,2024,49.0,20.0,34.0,37.0,
Jorge Figal,ARG,DF,29.0,25.3,10,0,0.0,22.0,14.0,1.0,10.0,21.0,25.0,0.0,2.0,0.0,2024,87.0,45.0,33.0,57.7,
Cristian Medina,ARG,MF,21.0,24.6,7,1,1.0,39.0,43.0,1.0,20.0,27.0,27.0,1.0,0.0,0.0,2024,101.0,7.0,13.0,35.0,
Marcos Rojo,ARG,DF,33.0,18.1,9,1,1.0,16.0,7.0,2.0,4.0,12.0,12.0,0.0,1.0,0.0,2024,56.0,46.0,19.0,70.8,
Marcelo Saracchi,URU,"DF,MF",25.0,15.3,6,1,1.0,24.0,13.0,1.0,57.0,35.0,19.0,0.0,1.0,0.0,2024,62.0,4.0,3.0,57.1,
Leandro Brey,ARG,GK,21.0,14.6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,19.0,3.0,0.0,100.0,
Jabes Saralegui,ARG,"MF,DF",21.0,14.4,1,0,0.0,11.0,20.0,1.0,38.0,8.0,9.0,0.0,0.0,0.0,2024,39.0,5.0,6.0,45.5,
Tomás Belmonte,ARG,MF,25.0,14.1,2,0,0.0,14.0,26.0,0.0,2.0,16.0,23.0,0.0,0.0,0.0,2024,72.0,31.0,20.0,60.8,
Lautaro Di Lollo,ARG,DF,19.0,14.0,2,0,0.0,12.0,8.0,0.0,1.0,10.0,27.0,0.0,0.0,0.0,2024,39.0,18.0,24.0,42.9,
Ezequiél Fernández,ARG,MF,21.0,13.9,4,0,0.0,23.0,32.0,2.0,2.0,13.0,25.0,0.0,0.0,0.0,2024,80.0,8.0,7.0,53.3,
Milton Giménez,ARG,FW,27.0,12.1,5,1,1.0,32.0,19.0,4.0,3.0,3.0,11.0,0.0,0.0,0.0,2024,28.0,30.0,41.0,42.3,
Aaron Anselmino,ARG,DF,18.0,12.0,2,0,0.0,18.0,8.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,2024,44.0,16.0,16.0,50.0,
Exequiel Zeballos,ARG,"MF,FW",21.0,11.9,3,0,0.0,13.0,28.0,8.0,59.0,3.0,6.0,0.0,0.0,0.0,2024,38.0,7.0,14.0,33.3,
Brian Aguirre,ARG,"FW,MF",20.0,9.9,1,0,0.0,20.0,17.0,0.0,52.0,2.0,8.0,0.0,0.0,0.0,2024,31.0,9.0,15.0,37.5,
Luca Langoni,ARG,FW,21.0,9.6,3,0,0.0,10.0,19.0,3.0,32.0,4.0,3.0,0.0,0.0,0.0,2024,26.0,0.0,8.0,0.0,
Ignacio Miramon,ARG,MF,20.0,8.8,3,0,0.0,11.0,15.0,0.0,15.0,13.0,16.0,0.0,0.0,0.0,2024,56.0,9.0,19.0,32.1,
Gary Medel,CHI,"DF,MF",36.0,7.8,6,0,0.0,11.0,9.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,2024,22.0,8.0,8.0,50.0,
Lucas Janson,ARG,"FW,MF",29.0,7.7,1,0,0.0,6.0,20.0,4.0,7.0,1.0,11.0,0.0,0.0,0.0,2024,13.0,9.0,10.0,47.4,
Frank Fabra,COL,"DF,MF",32.0,6.2,1,0,0.0,12.0,6.0,1.0,18.0,5.0,5.0,0.0,0.0,0.0,2024,13.0,14.0,5.0,73.7,
Milton Delgado,ARG,MF,18.0,6.0,2,1,0.0,14.0,17.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,2024,32.0,5.0,5.0,50.0,
Mauricio Benítez,ARG,MF,19.0,5.9,0,0,0.0,3.0,6.0,0.0,2.0,15.0,10.0,0.0,0.0,0.0,2024,16.0,4.0,4.0,50.0,
Nicolás Valentini,ARG,DF,22.0,5.8,1,0,0.0,8.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2024,8.0,7.0,4.0,63.6,
Jorman Campuzano,COL,DF,27.0,5.8,3,0,0.0,10.0,4.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,2024,41.0,10.0,9.0,52.6,
Juan Barinaga,ARG,DF,23.0,5.3,2,0,0.0,5.0,6.0,0.0,14.0,8.0,4.0,0.0,0.0,0.0,2024,26.0,7.0,8.0,46.7,
Lucas Blondel,SUI,"DF,MF",27.0,4.7,0,0,0.0,5.0,6.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,2024,22.0,7.0,6.0,53.8,
Agustín Martegani,ARG,MF,23.0,4.3,0,0,0.0,8.0,9.0,0.0,10.0,5.0,8.0,0.0,0.0,0.0,2024,17.0,10.0,3.0,76.9,
Darío Benedetto,ARG,FW,33.0,3.7,0,0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2024,5.0,1.0,6.0,14.3,
Ezequiel Bullaude,ARG,"FW,MF",23.0,2.7,2,0,0.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2024,17.0,2.0,5.0,28.6,
Mateo Mendía,ARG,DF,19.0,2.3,0,0,0.0,3.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,2024,6.0,7.0,2.0,77.8,
Julián Ceballos,ARG,MF,19.0,2.0,0,0,0.0,2.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,2024,2.0,1.0,0.0,100.0,
Norberto Briasco,ARM,"MF,FW",27.0,1.9,1,0,0.0,7.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,2024,3.0,3.0,2.0,60.0,
Juan Ramírez,ARG,MF,30.0,1.7,1,0,0.0,4.0,7.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,2024,4.0,3.0,1.0,75.0,
Vicente Taborda,ARG,MF,22.0,1.6,0,0,0.0,1.0,4.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,2024,7.0,1.0,1.0,50.0,
Javier Hernán García,ARG,GK,37.0,0.8,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,,
Iker Zufiaurre,ARG,MF,18.0,0.7,0,0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,,
Dylan Gorosito,ARG,DF,17.0,0.5,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2024,1.0,1.0,3.0,25.0,
Joaquín Ruíz,ARG,FW,17.0,0.2,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.0,0.0,,
Walter Molas,ARG,DF,19.0,0.1,1,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0.0,0.0,0.0,,
Santiago Dalmasso,ARG,MF,19.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.0,0.0,,
Agustín Marchesín,ARG,GK,37-249,32.0,3,0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2025,24.0,3.0,1.0,75.0,
Lautaro Blanco,ARG,DF,26-274,29.8,5,0,0.0,22.0,13.0,0.0,193.0,22.0,48.0,0.0,0.0,0.0,2025,115.0,13.0,8.0,61.9,
Rodrigo Battaglia,ARG,"DF,MF",34-131,24.9,5,0,0.0,32.0,37.0,0.0,7.0,15.0,25.0,0.0,0.0,0.0,2025,80.0,61.0,54.0,53.0,
Miguel Merentiel,URU,FW,29-269,24.1,2,0,0.0,25.0,18.0,3.0,24.0,2.0,6.0,0.0,0.0,0.0,2025,55.0,2.0,10.0,16.7,
Carlos Palacios,CHI,MF,25-123,23.1,5,0,0.0,26.0,40.0,2.0,30.0,4.0,11.0,0.0,0.0,0.0,2025,93.0,15.0,19.0,44.1,
Lautaro Di Lollo,ARG,DF,21-255,22.2,9,0,0.0,31.0,9.0,1.0,0.0,22.0,31.0,0.0,1.0,0.0,2025,94.0,61.0,40.0,60.4,
Ayrton Costa,ARG,DF,26-131,19.1,7,1,1.0,20.0,18.0,1.0,4.0,43.0,30.0,0.0,0.0,0.0,2025,57.0,32.0,24.0,57.1,
Milton Giménez,ARG,FW,29-100,17.3,6,0,0.0,33.0,23.0,10.0,5.0,5.0,12.0,0.0,0.0,0.0,2025,37.0,41.0,72.0,36.3,
Edinson Cavani,URU,FW,38-279,15.5,4,0,0.0,17.0,12.0,14.0,2.0,2.0,7.0,2.0,0.0,0.0,2025,39.0,17.0,28.0,37.8,
Juan Barinaga,ARG,DF,25-041,14.8,2,0,0.0,14.0,19.0,0.0,49.0,17.0,21.0,0.0,0.0,0.0,2025,61.0,15.0,9.0,62.5,
Luis Advíncula,PER,DF,35-263,14.7,4,0,0.0,27.0,13.0,2.0,37.0,8.0,17.0,0.0,0.0,0.0,2025,38.0,11.0,7.0,61.1,
Milton Delgado,ARG,MF,20-157,14.6,3,0,0.0,20.0,24.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,2025,100.0,13.0,12.0,52.0,
Alan Velasco,ARG,"MF,FW",23-116,13.8,5,0,0.0,23.0,36.0,0.0,44.0,11.0,15.0,0.0,0.0,0.0,2025,67.0,10.0,12.0,45.5,
Tomás Belmonte,ARG,MF,27-177,13.5,3,0,0.0,23.0,29.0,0.0,2.0,14.0,40.0,0.0,0.0,0.0,2025,54.0,17.0,14.0,54.8,
Leandro Paredes,ARG,MF,31-144,13.2,3,0,0.0,8.0,32.0,1.0,85.0,14.0,19.0,0.0,0.0,1.0,2025,78.0,10.0,2.0,83.3,
Kevin Zenon,ARG,"MF,FW",24-113,12.7,1,1,0.0,8.0,19.0,2.0,96.0,5.0,15.0,0.0,0.0,0.0,2025,51.0,6.0,10.0,37.5,
Exequiel Zeballos,ARG,"MF,FW",23-210,12.0,1,0,0.0,10.0,19.0,10.0,43.0,3.0,6.0,1.0,0.0,0.0,2025,42.0,3.0,15.0,16.7,
Marcos Rojo,ARG,DF,35-245,9.5,4,0,0.0,5.0,10.0,1.0,0.0,12.0,9.0,0.0,0.0,0.0,2025,25.0,17.0,16.0,51.5,
William Alarcón,CHI,MF,25-000,9.3,4,0,0.0,6.0,8.0,0.0,13.0,8.0,7.0,0.0,0.0,0.0,2025,29.0,7.0,5.0,58.3,
Brian Aguirre,ARG,"MF,FW",22-172,8.1,0,0,0.0,16.0,10.0,2.0,24.0,6.0,4.0,0.0,0.0,0.0,2025,36.0,7.0,9.0,43.8,
Marco Pellegrino,ARG,DF,23-125,7.0,2,0,0.0,6.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,2025,17.0,19.0,7.0,73.1,
Lucas Blondel,SUI,"DF,MF",29-067,6.1,1,0,0.0,2.0,4.0,0.0,15.0,5.0,6.0,0.0,0.0,0.0,2025,21.0,8.0,12.0,40.0,
Ander Herrera,ESP,MF,36-098,5.1,1,1,0.0,4.0,10.0,0.0,8.0,8.0,8.0,2.0,0.0,0.0,2025,27.0,6.0,4.0,60.0,
Marcelo Saracchi,URU,"DF,MF",27-211,4.1,1,0,0.0,4.0,4.0,0.0,15.0,8.0,6.0,0.0,0.0,0.0,2025,16.0,4.0,2.0,66.7,
Malcom Braida,ARG,"FW,MF",28-187,3.6,1,0,0.0,6.0,7.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,2025,8.0,9.0,4.0,69.2,
Camilo Rey,ARG,MF,19-255,3.4,0,0,0.0,4.0,5.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,2025,15.0,1.0,4.0,20.0,
Leandro Brey,ARG,GK,23-060,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3.0,1.0,0.0,100.0,
Jorge Figal,ARG,DF,31-231,2.8,0,1,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2025,6.0,5.0,3.0,62.5,
Lucas Janson,ARG,"FW,MF",31-096,1.3,0,0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2025,5.0,2.0,2.0,50.0,
Frank Fabra,COL,DF,34-271,1.2,1,0,0.0,2.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,2025,4.0,1.0,3.0,25.0,
Ignacio Miramon,ARG,"MF,FW",22-161,1.1,1,0,0.0,2.0,5.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,2025,9.0,1.0,1.0,50.0,
Mateo Mendía,ARG,DF,21-290,1.0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2025,4.0,2.0,2.0,50.0,
Agustín Martegani,ARG,MF,25-184,0.6,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025,1.0,1.0,3.0,25.0,
Joaquín Ruíz,ARG,"MF,FW",19-122,0.3,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2025,4.0,2.0,0.0,100.0,
Santiago Dalmasso,ARG,MF,21-155,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025,0.0,1.0,0.0,100.0,
